id,fatherId,arabicName,englishName,info
1,14,محمد بن مسعود بن علي بن سعد الملقب بأبي رجاء بن عبد الله,Muhammad bin Mas'ud bin Ali bin Sa'd al-Mulaqqab bi Abi Rajaa' bin Abdullah,خرج هو وعمه تاج العارفين الشيخ سعد بن علي من ظفار ثم أشار له عمه وشيخه سعد بن علي سفر هذا بالخروج من المغرب إلى أي بلاد اختاره الله له بالسكنى فكانت هذه البلد سيئون فسكنها إلى أن توفي بها فرحمه الله ورضي عنه وإيّانا آمين ولد نصبه نجيبه بالاستيطان في بلد سيئون (حضرموت)
2,1,مسعود,Mas'ud,
3,2,عبدالملك بن سعد بن علي بن عبدالله,Abdulmalik bin Sa'd bin Ali bin Abdullah,
4,3,سعيد بن أحمد,Sa'id bin Ahmad,
5,4,عبدالله,Abdullah,
6,5,عبدالله بن سعد,Abdullah bin Sa'd,
7,6,سالم,Salim,
8,6,أحمد,Ahmad,
9,6,عبدالرحمن,Abdurrahman,
10,8,محمد,Muhammad,
11,7,عبدالقادر,Abdulqadir,
12,11,أحمد,Ahmad,
13,11,سالم,Salim,
14,15,علي,Ali,
15,16,يحيى,Yahya,
16,17,الامين,Al-Amin,
17,18,مسلم,Muslim,
18,19,شهاب,Shihab,
19,20,لؤي,Lu'ay,
20,21,العلاء,Al-Alaa',
21,23,مكتل,Maktal,
22,23,آمنة,Aminah,ملاحظه : آمنه أم الرسول هي أخت مكتل بن وهب - زهره وقصي هما أخوان
23,24,وهب,Wahab,
24,25,عبد مناف,Abd Manaf,
25,26,زهره,Zuhrah,
26,27,كلاب,Kilab,
27,28,مُرَّة,Murrah,
28,29,كعب,Ka'ab,
29,30,لؤي,Lu'ay,
30,31,غالب,Ghalib,
31,32,فهر,Fihr,
32,33,مالك,Malik,
33,34,النضر,An-Nadhir,
34,35,كنانة,Kinanah,
35,36,خزيمة,Khuzaymah,
36,37,مدركة,Mudrikah,
37,38,إلياس,Ilyas,
38,39,مضر,Mudar,
39,40,نزار,Nizar,
40,41,معد,Ma'ad,
41,,عدنان,Adnan,
42,26,قصي,Qusai,
43,42,عبد مناف,Abd Manaf,
44,43,هاشم,Hashim,
45,44,عبد المطلب,Abdul Muttalib,
46,45,عبدالله,Abdullah,
47,46,محمد رسول الله صلى الله عليه وسلم,Muhammad Rosulullah صلى الله عليه وسلم,نسب الرسول الاعظم والنبي الاكرم
